,Store Name,Address,Type,Rating,Reviews,URL
27,Restaurant Poissonnerie Chez Abdelwaheb,"Espace Neifar D'électricité, AVENUE 5 AOÛT CITÉ JARDIN RUE POLYCLINIQUE ELBASSATINE À-CÔTÉS",Restaurant,"4,9",21,https://www.google.com/maps/place/Restaurant+Poissonnerie+Chez+Abdelwaheb/data=!4m7!3m6!1s0x1301d3c63a2e8b21:0xb56acb90304ab8b3!8m2!3d34.749525!4d10.7619719!16s%2Fg%2F11jspflpv6!19sChIJIYsuOsbTARMRs7hKMJDLarU?authuser=0&hl=fr&rclk=1
28,Machewi Mahmoud becha,,Plats familiaux,"4,3",38,https://www.google.com/maps/place/Machewi+Mahmoud+becha/data=!4m7!3m6!1s0x1301d30f3d342e43:0xf014ddf33e6146c7!8m2!3d34.7514387!4d10.7680431!16s%2Fg%2F11tnj01_fc!19sChIJQy40PQ_TARMRx0ZhPvPdFPA?authuser=0&hl=fr&rclk=1
29,Dar Chams Boudaya,"PQP6+FJV nahj sidi khlil, Rue Sidi Ali Karray",Restaurant,"4,1",34,https://www.google.com/maps/place/Dar+Chams+Boudaya/data=!4m7!3m6!1s0x13002d790d4944b3:0x130d2ffaa784ad17!8m2!3d34.736227!4d10.7615573!16s%2Fg%2F11hz6mgbq0!19sChIJs0RJDXktABMRF62Ep_ovDRM?authuser=0&hl=fr&rclk=1
30,Restaurant Abouda 2 plus,"PQJ2+3C3, Rue Atlas",Restaurant,"4,0",47,https://www.google.com/maps/place/Restaurant+Abouda+2+plus/data=!4m7!3m6!1s0x13002cd6e21a5251:0x54c7f19b292abf5c!8m2!3d34.7301316!4d10.7510424!16s%2Fg%2F11cnxz38z4!19sChIJUVIa4tYsABMRXL8qKZvxx1Q?authuser=0&hl=fr&rclk=1
31,Restaurant Dar Kammoun,,Restaurant,"4,3",32,https://www.google.com/maps/place/Restaurant+Dar+Kammoun/data=!4m7!3m6!1s0x13002cd55d1d9a21:0x9d902b582c32c9eb!8m2!3d34.7367784!4d10.7543035!16s%2Fg%2F11cmph7t20!19sChIJIZodXdUsABMR68kyLFgrkJ0?authuser=0&hl=fr&rclk=1
32,chef's,QPGH+29C,Restaurant,"4,3",43,https://www.google.com/maps/place/chef%27s/data=!4m7!3m6!1s0x1301d3c73c47b1a7:0x2a5e54b9bdd9e7de!8m2!3d34.7750679!4d10.7283871!16s%2Fg%2F11k4k6brs3!19sChIJp7FHPMfTARMR3ufZvblUXio?authuser=0&hl=fr&rclk=1
33,Tex mex,51 Av. 5 août,Restaurant,"3,9",64,https://www.google.com/maps/place/Tex+mex/data=!4m7!3m6!1s0x1301d34b8f1f3011:0xb9ee76c6d253b527!8m2!3d34.7456588!4d10.7618229!16s%2Fg%2F11fmpl10kl!19sChIJETAfj0vTARMRJ7VT0sZ27rk?authuser=0&hl=fr&rclk=1
34,Restaurant besbes,"PQH6+V52, Ctre",Restauration rapide,"4,4",19,https://www.google.com/maps/place/Restaurant+besbes/data=!4m7!3m6!1s0x13002d292c9023b3:0x7fa02bccd0cfb4dc!8m2!3d34.7296345!4d10.7603936!16s%2Fg%2F11g6p4lb5d!19sChIJsyOQLCktABMR3LTP0MwroH8?authuser=0&hl=fr&rclk=1
35,SPIGOLA RESTAURANT,PQW7+6MW,Restaurant,"4,2",11,https://www.google.com/maps/place/SPIGOLA+RESTAURANT/data=!4m7!3m6!1s0x1301d2d04eaae05b:0x356b379d443aa39c!8m2!3d34.7456176!4d10.7641876!16s%2Fg%2F11c74bpzzw!19sChIJW-CqTtDSARMRnKM6RJ03azU?authuser=0&hl=fr&rclk=1
36,Restaurant Zitouna 2,"km 1,5, Rte de la Soukra",Restaurant,"3,8",147,https://www.google.com/maps/place/Restaurant+Zitouna+2/data=!4m7!3m6!1s0x13002ccedbafed8f:0xd76156e00cf03a7a!8m2!3d34.7316304!4d10.7388933!16s%2Fg%2F11dxjxzn2h!19sChIJj-2v284sABMRejrwDOBWYdc?authuser=0&hl=fr&rclk=1
37,Restaurant Cercina,PQH6+G3R,Bar,"4,6",103,https://www.google.com/maps/place/Restaurant+Cercina/data=!4m7!3m6!1s0x13002d28d16b2a5b:0xad24a8ff9b15607!8m2!3d34.7288698!4d10.7601285!16s%2Fg%2F11c5bth_cr!19sChIJWypr0SgtABMRB1ax-Y9K0go?authuser=0&hl=fr&rclk=1
38,Roti Express Resto,,Poulet,"4,0",24,https://www.google.com/maps/place/Roti+Express+Resto/data=!4m7!3m6!1s0x1301d2d5f1a77889:0x224fc388f8f8dd40!8m2!3d34.7425773!4d10.75546!16s%2Fg%2F11g9mfdhjg!19sChIJiXin8dXSARMRQN34-IjDTyI?authuser=0&hl=fr&rclk=1
39,Sandwich Hammadi,"PQR3+GWH, Rue Sidi Lakhmi",Restauration rapide,"4,0",20,https://www.google.com/maps/place/Sandwich+Hammadi/data=!4m7!3m6!1s0x1301d32a76e44b89:0xb99b34764216be19!8m2!3d34.741313!4d10.7548593!16s%2Fg%2F1tkfwsxn!19sChIJiUvkdirTARMRGb4WQnY0m7k?authuser=0&hl=fr&rclk=1
40,The Luna Sky sfax,"PQW7+234, Av. 5 août",Restaurant,"4,9",8,https://www.google.com/maps/place/The+Luna+Sky+sfax/data=!4m7!3m6!1s0x1301d3111c23070b:0x505aa471eb5fd67e!8m2!3d34.7450147!4d10.762703!16s%2Fg%2F11fqlqb2z2!19sChIJCwcjHBHTARMRftZf63GkWlA?authuser=0&hl=fr&rclk=1
41,Restaurant Al Mansour,"PQP5+HC9, Rue Cheikh Tijani",Restaurant,"4,3",4,https://www.google.com/maps/place/Restaurant+Al+Mansour/data=!4m7!3m6!1s0x13002df83917e76f:0x2342c8e8bd8fd8ea!8m2!3d34.7364174!4d10.7586233!16s%2Fg%2F11rbyvmrq1!19sChIJb-cXOfgtABMR6tiPvejIQiM?authuser=0&hl=fr&rclk=1
42,Restaurant Abouda 1,4 Bd de l'Armée Nationale,Restaurant,"4,3",7,https://www.google.com/maps/place/Restaurant+Abouda+1/data=!4m7!3m6!1s0x13002d2da19157a9:0xb07ad116e596f66c!8m2!3d34.7341101!4d10.764549!16s%2Fg%2F11c1rt82b8!19sChIJqVeRoS0tABMRbPaW5RbRerA?authuser=0&hl=fr&rclk=1
43,Cubzz,"1-361 3039, Rte du Kaïd Mhamed",Restaurant,"4,1",14,https://www.google.com/maps/place/Cubzz/data=!4m7!3m6!1s0x1301d35aeddd7c43:0x8452c28e52471be5!8m2!3d34.7683986!4d10.7425138!16s%2Fg%2F11g0j46qrf!19sChIJQ3zd7VrTARMR5RtHUo7CUoQ?authuser=0&hl=fr&rclk=1
